Original_ID,New_ID,Date,Nest_name,Locality,Site_name,Family,Genus,species,Gut_portion,Wasp Type,Sample_or_Control
AmB1,Mel1,Dec,Individual,San Antonio,Rankin,Apidae,Apis,mellifera,whole,Honey Bee,Sample
AmC1,Mel2,Dec,Individual,San Antonio,Rankin,Apidae,Apis,mellifera,whole,Honey Bee,Sample
BFL11,BrachIn1,Jun,Individual,Austin,BFL,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BFL12,BrachIn2,Jun,Individual,Austin,BFL,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BFL14M,BrachIn3,Jun,Individual,Austin,BFL,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BFL15,BrachIn4,Jun,Individual,Austin,BFL,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BFL17,BrachIn5,Jun,Individual,Austin,BFL,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm11D,Brach11,Dec,SA1,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm12D,Brach12,Dec,SA1,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm13D,Brach13,Dec,SA1,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm310,Brach31,Dec,SA3,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm312,Brach32,Dec,SA3,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm313,Brach33,Dec,SA3,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm42D,Brach41,Dec,SA4,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm43D,Brach42,Dec,SA4,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm44D,Brach43,Dec,SA4,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm52,Brach51,Dec,SA5,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm53,Brach52,Dec,SA5,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm55,Brach53,Dec,SA5,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm618,Brach61,Dec,SA6,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm619,Brach62,Dec,SA6,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm62,Brach63,Dec,SA6,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm71D,Brach71,Dec,SA7,San Antonio,IKEA,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm72D,Brach72,Dec,SA7,San Antonio,IKEA,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm73D,Brach73,Dec,SA7,San Antonio,IKEA,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm81D,Brach81,Dec,SA8,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm82D,Brach82,Dec,SA8,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
Bm83D,Brach83,Dec,SA8,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BmA4,Brach14,Dec,SA1,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BmA5,Brach21,Dec,SA2,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BmA7,Brach34,Dec,SA3,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BmA8,Brach44,Dec,SA4,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR11,BrachH11,May,Har1,Harlingen,Church,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR12,BrachH12,May,Har1,Harlingen,Church,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR13,BrachH13,May,Har1,Harlingen,Church,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR14,BrachH14,May,Har1,Harlingen,Church,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR15,BrachH15,May,Har1,Harlingen,Church,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR21,BrachH21,May,Har2,Harlingen,House,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR22,BrachH22,May,Har2,Harlingen,House,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR23,BrachH23,May,Har2,Harlingen,House,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR24,BrachH24,May,Har2,Harlingen,House,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
HAR25,BrachH25,May,Har2,Harlingen,House,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
KV110,BrachK11,Oct,KV1,Kingsville,Kingsville,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
KV114,BrachK12,Oct,KV1,Kingsville,Kingsville,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
KV115H,BrachK13,Oct,KV1,Kingsville,Kingsville,Vespidae,Brachygastra,mellifica,hindgut,Honey Wasp,Sample
KV115M,BrachK14,Oct,KV1,Kingsville,Kingsville,Vespidae,Brachygastra,mellifica,midgut,Honey Wasp,Sample
KV116,BrachK15,Oct,KV1,Kingsville,Kingsville,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
KV16,BrachK16,Oct,KV1,Kingsville,Kingsville,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
PLV11,BrachP11,Jan,PLV1,Port Lavaca,Port Lavaca,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
PLV12,BrachP12,Jan,PLV1,Port Lavaca,Port Lavaca,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
PLV13,BrachP13,Jan,PLV1,Port Lavaca,Port Lavaca,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
PLV15M,BrachP14,Jan,PLV1,Port Lavaca,Port Lavaca,Vespidae,Brachygastra,mellifica,midgut,Honey Wasp,Sample
PLV16,BrachP15,Jan,PLV1,Port Lavaca,Port Lavaca,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BM12J,Brach15,July,SA1,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BM15J,Brach16,July,SA1,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BM21J,Brach22,July,SA2,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BM22J,Brach23,July,SA2,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BM31J,Brach35,July,SA3,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BM35J,Brach36,July,SA3,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BM45J,Brach45,July,SA4,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
BM46J,Brach46,July,SA4,San Antonio,Rankin,Vespidae,Brachygastra,mellifica,whole,Honey Wasp,Sample
JCH620,Vesp1,Apr,Individual,Bastrop,Stengl,Vespidae,Polistes,carolina,whole,Other Wasp,Sample
JCH706,Vesp2,May,Individual,Austin,Brackenridge,Vespidae,Polistes,carolina,whole,Other Wasp,Sample
JCH716,Crab1,May,Individual,Austin,Brackenridge,Crabronidae,Cerceris,fumipennis,whole,Other Wasp,Sample
JCH717,Thynn1,May,Individual,Austin,Brackenridge,Thynnidae,Myzinum,quinquecinctum,whole,Other Wasp,Sample
